sample_TAG,species,season,zone,site,num_increment,delta13C,delta15N,C_percent,N_percent,source,labels,taxa,feeding_mode,mobility,lip_dw_percent,class,stade,length_TL_cm,lon,lat
LIMEBAL_26_D1409,Limecola_balthica,spring,Fosse Sud,26,D1409,-19.79705135830409,9.100810433523712,43.95996947499724,8.744985732835707,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_59_D1397,Limecola_balthica,spring,Fosse Sud,59,D1397,-19.627769785513376,9.258258177214723,43.771719553331614,8.707363940535567,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_59_D1402,Limecola_balthica,spring,Fosse Sud,59,D1402,-19.179120151082824,9.341716712281984,43.546879344531945,10.989992538705929,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_2_D1478,Limecola_balthica,spring,Fosse Nord,2,D1478,-20.129103687795915,11.274453284600284,44.49479369135959,9.674624078698352,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_2_D1479,Limecola_balthica,spring,Fosse Nord,2,D1479,-19.852286580880033,11.626959747405419,44.03900967673569,10.979331989598412,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_8_D1485,Limecola_balthica,spring,Fosse Nord,8,D1485,-20.672450527336377,9.59191298322823,44.379695774427624,9.902054048210507,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_BP2_D1488,Limecola_balthica,spring,Fosse Nord,BP2,D1488,-21.49483100108459,11.04380817972099,43.78675408753176,9.365163183311203,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_12_D1567,Limecola_balthica,autumn,Fosse Sud,FS12,D1567,-18.39413375361268,10.729093526521453,40.979277578015555,8.857928988037314,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_19_D1534,Limecola_balthica,autumn,Fosse Sud,FS19,D1534,-19.200743291146463,10.25707742454184,45.301361735183704,9.439994344661855,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_19_D1537,Limecola_balthica,autumn,Fosse Sud,FS19,D1537,-18.963486405976738,10.630131596988171,44.398830879956094,11.527824313465674,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_26_D1522,Limecola_balthica,autumn,Fosse Sud,26,D1522,-18.929381775915665,10.066394252991916,43.94081669179358,11.480023492220024,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_59_D1512,Limecola_balthica,autumn,Fosse Sud,59,D1512,-19.12505610857994,9.801369835012892,44.33106723187707,9.610488339876142,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_2_D1533,Limecola_balthica,autumn,Fosse Nord,2,D1533,-19.928080050709326,11.679285382487556,43.84856179008867,11.042295753887942,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_BP2_D1561,Limecola_balthica,autumn,Fosse Nord,BP2,D1561,-19.1620425819434,11.089422752796114,44.08303624354442,10.234433713442293,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
NEPT_19_D1558,Nephtys,autumn,Fosse Sud,FS19,D1558,-18.706632539754523,12.475440005250473,36.3843538795716,9.254567937650265,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTASS_50_D1332,Nepthys_sp,spring,Embouchure,EM50,D1332,-15.934917498575654,13.22466382624844,34.64008475611778,9.835417954380475,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTASS_50_D1454,Nepthys_sp,autumn,Embouchure,EM50,D1454,-17.041686856636527,12.312458907358149,31.700054869488003,7.653000660262705,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCAE_CAPES2_D1541,Nepthys_sp,spring,Embouchure,CAPES2,D1541,-18.401634369156415,11.062304060716706,35.98149845800697,8.681554064742302,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCAE_47_D1457,Nepthys_sp,autumn,Embouchure,EM47,D1457,-17.896951004863475,12.483891400738692,40.22060709560423,10.406505902760363,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCAE_52_D1431,Nepthys_sp,autumn,Embouchure,EM52,D1431,-16.8535366096563,12.601531999479182,31.892043411907128,8.050313099734158,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCIR_50_D1337,Nepthys_sp,spring,Embouchure,EM50,D1337,-18.36137007280408,12.185875881955718,35.211964208400914,8.916474111806155,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCIR_12_D1566,Nepthys_sp,spring,Embouchure,EM52,D1566,-15.33565788113232,14.083942823463282,35.96829136112746,9.342712617676785,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCIR_12_D1517,Nepthys_sp,spring,Fosse Sud,FS12,D1517,-16.255235349977106,14.625669582286083,33.814452895276595,8.52532646546678,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCIR_CAPES3_D1399,Nepthys_sp,spring,Fosse Sud,CAPES3,D1399,-19.96964389488804,12.161811225355073,34.01125152471127,7.683019145533962,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCIR_BP2_D1489,Nepthys_sp,spring,Fosse Nord,BP2,D1489,-20.748905647496446,14.261143890233257,34.15250839498495,8.274318840845996,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCIR_12_D1566,Nepthys_sp,autumn,Fosse Sud,FS12,D1566,-15.33565788113232,14.083942823463282,35.96829136112746,9.342712617676785,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTCIR_CAPES3_D1345,Nepthys_sp,autumn,Fosse Sud,CAPES3,D1345,-17.898707384605576,12.5283361982844,37.28453626045398,10.3476841581479,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_52_D1340,Nepthys_sp,spring,Embouchure,EM52,D1340,-17.084758922171428,11.842861581267293,34.7170647946451,9.260512868010759,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_CAPES1_D1338,Nepthys_sp,spring,Embouchure,CAPES1,D1338,-19.365241385055167,11.966590731070168,34.75496086960784,8.59811209712283,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_CAPES2_D1546,Nepthys_sp,spring,Embouchure,CAPES2,D1546,-18.344326622515048,11.159952228810017,39.14600242323509,9.36796919595571,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_19_D1525,Nepthys_sp,spring,Fosse Sud,FS19,D1525,-20.41104980362458,12.695152780260909,30.826751761060812,7.3397833538935515,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_26_D1404,Nepthys_sp,spring,Fosse Sud,26,D1404,-19.961470849759426,12.559029882617727,37.26988663300392,8.964699182996346,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_2_D1480,Nepthys_sp,spring,Fosse Nord,2,D1480,-18.583611298380514,14.761794343583915,36.0110955225234,8.546731414572626,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_14_D1486,Nepthys_sp,spring,Fosse Nord,14,D1486,-21.260368223965152,13.521920190207485,37.184853912403575,9.311818318752353,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_BP2_D1490,Nepthys_sp,spring,Fosse Nord,BP2,D1490,-21.68782083690612,14.23939468370325,30.72170278861458,7.567666172343698,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_47_D1461,Nepthys_sp,autumn,Embouchure,EM47,D1461,-18.27706957512579,11.856922029042188,36.92766583126595,9.209433500139221,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_52_D1430,Nepthys_sp,autumn,Embouchure,EM52,D1430,-17.607276753860354,12.061825237081322,33.696979382969005,8.271246195662263,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPTHOM_CAPES2_D1384,Nepthys_sp,autumn,Embouchure,CAPES2,D1384,-17.28028754708624,12.243302142300141,36.42468737271265,9.144075554030604,CAPES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NUCUNIT_50_D1456,Nucula_nitidosa,autumn,Embouchure,EM50,D1456,-18.5267116740011,9.159502497450017,41.386088302706355,11.592978305276933,CAPES,Nucula n.,Bivalves,Dep.sur.,Mobile,NA,NA,NA,NA,NA,NA
NUCUNIT_52_D1429,Nucula_nitidosa,autumn,Embouchure,EM52,D1429,-17.83639681548433,9.517118663817413,46.66121279818229,13.719490900386514,CAPES,Nucula n.,Bivalves,Dep.sur.,Mobile,NA,NA,NA,NA,NA,NA
OWENFUS_50_D1341,Owenia_fusiformis,spring,Embouchure,EM50,D1341,-18.896660385285287,9.709082930617832,44.06282885643874,9.968514231351143,CAPES,Owenia f.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
OWENFUS_52_D1314,Owenia_fusiformis,spring,Embouchure,EM52,D1314,-18.532617474796385,9.522421184928929,44.9942956618604,10.7530994985743,CAPES,Owenia f.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
OWENFUS_CAPES2_D1542,Owenia_fusiformis,spring,Embouchure,CAPES2,D1542,-19.265346141271134,8.531591633375285,43.3159490165385,9.331819649824782,CAPES,Owenia f.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
OWENFUS_47_D1460,Owenia_fusiformis,autumn,Embouchure,EM47,D1460,-17.076870238176536,11.574949432799883,25.465570108451725,5.282688995024596,CAPES,Owenia f.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
OWENFUS_50_D1450,Owenia_fusiformis,autumn,Embouchure,EM50,D1450,-17.22386891696026,10.977299164627858,48.22563071552077,11.37484885524027,CAPES,Owenia f.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
OWENFUS_52_D1428,Owenia_fusiformis,autumn,Embouchure,EM52,D1428,-17.68323245276189,10.158911878315319,44.283267116459044,10.424497144631081,CAPES,Owenia f.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
OWENFUS_CAPES2_D1324,Owenia_fusiformis,autumn,Embouchure,CAPES2,D1324,-17.92873929952572,9.39123562739123,46.25341802790381,11.793511657667437,CAPES,Owenia f.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
SCROPLA_BP2_D1563,Scrobicularia_plana,autumn,Fosse Nord,BP2,D1563,-19.16655055129332,11.182994421048452,42.383024841191144,10.983158517886633,CAPES,Scrobicularia p.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
SPISSUB_47_D1323,Spisula_subtruncata,spring,Embouchure,EM47,D1323,-18.982614265746026,8.451109899957485,46.139855902893636,11.678934380170418,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_47_D1327,Spisula_subtruncata,spring,Embouchure,EM47,D1327,-18.4799986286469,8.803868137925402,42.44768859985681,10.386864019443125,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_52_D1326,Spisula_subtruncata,spring,Embouchure,EM52,D1326,-18.881813366217013,8.474585026334628,46.44432240043815,10.99804921908978,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_CAPES2_D1400,Spisula_subtruncata,spring,Embouchure,CAPES2,D1400,-20.04732940217153,8.235999383521339,43.56737658051097,11.393360010694622,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_47_D1458,Spisula_subtruncata,autumn,Embouchure,EM47,D1458,-18.169684058746274,10.497685189730536,47.36101724374845,12.748356614668346,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_52_D1421,Spisula_subtruncata,autumn,Embouchure,EM52,D1421,-17.212971082323726,10.829228658140615,48.11065212352374,12.99325077226438,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
